ENTITY	Currency	Alphabetic Code	Numeric Code	Minor unit
AFGHANISTAN	Afghani	AFA	4		2
ALBANIA	Lek	ALL	8		2
ALGERIA	Algerian Dinar	DZD	12		2
AMERICAN SAMOA	US Dollar	USD	840		2
ANDORRA	Spanish Peseta	ESP	724		0
ANDORRA	French Franc	ESP	250		2
ANDORRA	Andorran Peseta	ADP	20		0
ANGOLA	Kwanza	AOA	973		2
ANGUILLA	East Caribbean Dollar	XCD	951		2
ANTARCTICA	No universal currency
ANTIGUA AND BARBUDA	East Caribbean Dollar	XCD	951		2
ARGENTINA	Argentine Peso	ARS	32		2
ARMENIA	Armenian Dram	AMD	51		2
ARUBA	Aruban Guilder	AWG	533		2
AUSTRALIA	Australian Dollar	AUD	36		2
AUSTRIA	Schilling	ATS	40		2
AZERBAIJAN	Azerbaijanian Manat	AZM	31		2
BAHAMAS	Bahamian Dollar	BSD	44		2
BAHRAIN	Bahraini Dinar	BHD	48		3
BANGLADESH	Taka	BDT	50		2
BARBADOS	Barbados Dollar	BBD	52		2
BELARUS	Belarussian Ruble	BYB	112		0
BELARUS	Belarussian Ruble	BYR	974		0
BELGIUM	Belgian Franc	BEF	56		0
BELIZE	Belize Dollar	BZD	84		2
BENIN	CFA Franc BCEAO	XOF	952		0
BERMUDA	Bermudian Dollar (customarily known as Bermuda Dollar)	BMD	60		2
BHUTAN	Indian Rupee	INR	356		2
BHUTAN	Ngultrum	BTN	64		2
BOLIVIA	Boliviano	BOB	68		2
BOLIVIA	Mvdol	BOV	984		2
BOSNIA & HERZEGOVINA	Convertible Marks	BAM	977		2
BOTSWANA	Pula	BWP	72		2
BOUVET ISLAND	Norwegian Krone	NOK	578		2
BRAZIL	Brazilian Real	BRL	986		2
BRITISH INDIAN OCEAN TERRITORY	US Dollar	USD	840		2
BRUNEI DARUSSALAM	Brunei Dollar	BND	96		2
BULGARIA	Lev	BGL	100		2
BULGARIA	Lev	BGN	975		2
BURKINA FASO	CFA Franc BCEAO	XOF	952		0
BURUNDI	Burundi Franc	BIF	108		0
CAMBODIA	Riel	KHR	116		2
CAMEROON	CFA Franc BEAC	XAF	950		0
CANADA	Canadian Dollar	CAD	124		2
CAPE VERDE	Cape Verde Escudo	CVE	132		2
CAYMAN ISLANDS	Cayman Islands Dollar	KYD	136		2
CENTRAL AFRICAN REPUBLIC	CFA Franc BEAC	XAF	950		0
CHAD	CFA Franc BEAC	XAF	950		0
CHILE	Chilean Peso	CLP	152		0
CHILE	Unidades de fomento	CLF	990		0
CHINA	Yuan Renminbi	CNY	156		2
CHRISTMAS ISLAND	Australian Dollar	AUD	36		2
COCOS (KEELING) ISLANDS	Australian Dollar	AUD	36		2
COLOMBIA	Colombian Peso	COP	170		2
COMOROS	Comoro Franc	KMF	174		0
CONGO	CFA Franc BEAC	XAF	950		0
CONGO, THE DEMOCRATIC REPUBLIC OF	Franc Congolais	CDF	976		2
COOK ISLANDS	New Zealand Dollar	NZD	554		2
COSTA RICA	Costa Rican Colon	CRC	188		2
CÔTE D'IVOIRE	CFA Franc BCEAO	XOF	952		0
CROATIA	Croatian kuna	HRK	191		2
CUBA	Cuban Peso	CUP	192		2
CYPRUS	Cyprus Pound	CYP	196		2
CZECH REPUBLIC	Czech Koruna	CZK	203		2
DENMARK	Danish Krone	DKK	208		2
DJIBOUTI	Djibouti Franc	DJF	262		0
DOMINICA	East Caribbean Dollar	XCD	951		2
DOMINICAN REPUBLIC	Dominican Peso	DOP	214		2
EAST TIMOR	Timor Escudo	TPE	626		0
EAST TIMOR	Rupiah	IDR	360		2
ECUADOR	US Dollar	USD	840		2
EGYPT	Egyptian Pound	EGP	818		2
EL SALVADOR	El Salvador Colon	SVC	222		2
EQUATORIAL GUINEA	CFA Franc BEAC	XAF	950		0
ERITREA	Nakfa	ERN	232		2
ESTONIA	Kroon	EEK	233		2
ETHIOPIA	Ethiopian Birr	ETB	230		2
	Euro	EUR	978		2
FAROE ISLANDS	Danish Krone	DKK	208		2
